initial_position,initial_velocity,mass,time,location 
1708,16,176,17,563.8999999999999
9223,74,59,27,7648.9
6648,81,813,6,6957.6
5060,59,241,88,-27693.600000000006
5247,90,726,97,-32127.100000000006
8115,10,969,15,7162.5
1454,64,279,24,167.5999999999999
8574,63,538,76,-14940.400000000001
2457,25,25,17,1465.8999999999999
7915,15,912,58,-7698.600000000002
1056,52,876,14,823.5999999999999
2902,31,54,18,1872.3999999999999
9093,87,494,3,9309.9
5962,13,83,28,2484.3999999999996
2357,41,634,93,-36210.100000000006
5496,8,594,68,-16617.600000000002
195,90,550,81,-24663.9
544,14,243,77,-27430.100000000002
8364,5,771,62,-10161.600000000002
9907,2,334,48,-1286.6000000000004
2729,95,881,48,-4000.6000000000004
4104,28,562,51,-7212.9000000000015
4502,35,744,34,27.599999999999454
200,83,178,55,-10057.500000000002
79,37,280,67,-19438.100000000002
7691,40,400,60,-7549.0
7000,46,441,42,288.39999999999964
9764,66,524,39,4885.099999999999
732,67,961,55,-10405.500000000002
5866,10,778,65,-14186.5
3040,57,848,17,2592.8999999999996
5841,48,928,23,4352.9
2518,57,227,94,-35420.4
7697,62,47,76,-15893.400000000001
3531,7,650,49,-7890.9000000000015
5631,76,15,14,5734.6
8984,60,998,66,-8400.400000000001
9245,78,836,21,8722.1
7796,55,726,1,7846.1
3291,38,436,37,-2011.1000000000004
3997,22,379,49,-6689.9000000000015
9835,14,484,31,5560.099999999999
9966,19,298,27,6906.9
1296,98,891,58,-9503.600000000002
3666,38,911,53,-8084.1
613,78,950,26,-671.4000000000001
4596,3,978,73,-21297.100000000002
4831,46,856,72,-17258.600000000002
3579,91,678,19,3539.1
1904,47,521,64,-15158.400000000001
5157,78,322,49,-2785.9000000000015
1743,41,400,7,1789.9
1549,95,904,57,-8956.1
5979,11,150,47,-4328.1
7275,46,296,5,7382.5
1377,10,435,89,-36545.9
1411,21,630,62,-16122.600000000002
8506,38,655,42,1458.3999999999996
291,83,976,43,-5200.1
5393,38,665,72,-17272.600000000002
8370,38,238,75,-16342.500000000004
2745,33,668,65,-15812.5
6209,59,761,47,-1842.1000000000004
4700,19,634,31,580.0999999999995
4278,98,800,54,-4718.4000000000015
8996,34,310,87,-25134.100000000006
9812,65,890,79,-15633.900000000001
5682,31,930,89,-30371.9
8402,82,992,91,-24712.9
3540,80,883,23,2787.8999999999996
7228,61,195,86,-23766.4
1475,32,209,17,602.8999999999999
3933,38,261,69,-16773.9
8670,53,771,62,-6879.600000000002
5279,36,169,33,1130.8999999999996
3367,16,195,38,-3100.6000000000004
5612,40,670,20,4452.0
1223,20,438,79,-27777.9
5787,45,77,78,-20514.600000000002
3226,51,11,60,-11354.0
9232,4,158,60,-8168.0
464,14,225,68,-21241.600000000002
5255,19,369,71,-18096.9
9738,18,864,17,8627.9
5001,53,197,36,558.5999999999995
6227,46,830,93,-31875.100000000006
9280,90,629,79,-14190.900000000001
1663,62,320,47,-6247.1
3608,25,171,98,-41001.600000000006
8119,10,650,60,-8921.0
9327,24,718,32,5077.4
4662,65,219,95,-33385.5
5963,38,466,49,-3939.9000000000015
4423,48,635,97,-37025.100000000006
490,49,827,39,-5051.900000000001
5415,44,765,54,-6497.4000000000015
8117,61,283,37,3665.8999999999996
8807,38,980,63,-8247.100000000002
766,10,125,62,-17449.600000000002
5677,48,551,3,5776.9
2464,26,463,24,265.5999999999999
3360,50,323,16,2905.6
6424,22,984,36,865.5999999999995
9821,31,553,21,8311.1
962,3,594,84,-33360.4
738,93,902,25,0.5
363,56,337,38,-4584.6
3341,9,551,38,-3392.6000000000004
2378,91,206,98,-35763.600000000006
2303,18,984,35,-3069.5
6459,8,242,62,-11880.600000000002
1309,15,211,3,1309.9
8763,44,706,27,6378.9
7069,8,206,53,-6271.1
7783,42,551,22,6335.4
2242,88,797,23,1673.8999999999996
1935,98,185,50,-5415.0
1613,16,676,26,-1283.4
9610,20,682,80,-20150.000000000004
7142,11,956,67,-14117.100000000002
7168,29,435,83,-24181.100000000006
6869,3,454,87,-29958.100000000006
574,46,34,91,-35816.9
4980,64,324,38,336.39999999999964
516,70,827,51,-8658.900000000001
9791,20,731,4,9792.6
5025,40,692,25,2962.5
7471,19,650,45,-1596.5
505,28,561,64,-17773.4
9965,52,50,93,-27579.100000000006
565,36,680,37,-4811.1
1825,86,896,46,-4587.4000000000015
2066,60,478,1,2121.1
949,79,990,96,-36625.4
9066,81,751,90,-23334.0
2619,38,483,82,-27212.600000000006
3975,71,108,37,-106.10000000000036
79,79,395,57,-11338.1
5423,57,494,84,-24363.4
1965,90,450,44,-3561.4000000000015
9523,76,154,63,-5137.100000000002
141,21,354,49,-10594.900000000001
3411,7,823,9,3077.1
8348,8,769,55,-6034.500000000002
1361,81,138,27,-24.100000000000364
9484,41,895,35,4916.5
2003,86,251,81,-23179.9
4435,98,411,53,-4135.1
2311,65,745,51,-7118.9000000000015
9446,35,611,46,687.5999999999985
834,2,133,56,-14420.400000000001
4844,91,205,22,4474.4
9724,62,357,71,-10574.900000000001
7515,35,9,55,-5382.500000000002
6694,83,119,90,-25526.0
7697,78,521,40,2976.999999999999
1209,94,5,18,1313.3999999999999
1388,35,878,72,-21493.600000000002
5940,73,116,24,4869.6
7408,74,651,20,6928.0
9840,11,241,61,-7721.9000000000015
1236,65,386,40,-4004.000000000001
3589,73,883,59,-9160.900000000001
353,11,962,86,-34941.4
9,5,348,50,-11991.0
7952,80,600,16,7977.6
7970,35,129,33,3788.8999999999996
6417,91,974,83,-19786.100000000006
5413,9,959,53,-7874.1
6373,19,260,18,5127.4
4150,25,485,5,4152.5
6591,61,726,67,-11318.100000000002
7397,77,563,61,-6138.9000000000015
343,24,218,42,-7292.6
1404,61,544,12,1430.4
4575,15,600,66,-15779.400000000001
2361,48,537,43,-4635.1
4176,6,992,86,-31548.4
2662,75,511,40,-2178.000000000001
391,90,545,82,-25176.600000000006
1620,94,699,57,-8942.1
7846,60,967,11,7913.1
6435,82,530,28,4889.4
9154,60,25,50,-96.0
2133,10,847,55,-12139.500000000002
8436,46,461,28,5882.4
59,75,642,51,-8860.900000000001
1225,96,452,55,-8317.500000000002
1944,60,338,12,1958.4
674,93,189,74,-19276.4
1715,29,78,37,-3920.1000000000004
3367,89,755,84,-23731.4
2005,55,181,97,-38764.100000000006
9817,67,772,68,-8284.600000000002
908,37,702,57,-12903.1
7786,80,908,18,7638.4
1577,64,884,68,-16728.600000000002
3525,13,219,59,-12764.900000000001
3650,68,41,4,3843.6
1194,26,952,74,-23714.4
4709,57,2,86,-26629.4
1566,32,646,47,-7754.1
9010,79,697,60,-3890.0
5690,91,261,52,-2827.6000000000004
1190,67,732,6,1415.6
2926,80,792,8,3252.4
7063,7,102,27,3679.8999999999996
249,44,373,47,-8507.1
4087,56,137,67,-14157.100000000002
9110,92,84,32,7036.4
5481,30,41,98,-38638.600000000006
7966,82,544,40,3405.999999999999
1548,36,414,91,-35752.9
4719,22,432,51,-6903.9000000000015
2361,95,848,40,-1679.000000000001
9096,29,687,19,7878.1
8286,78,80,39,3875.0999999999995
1314,13,903,18,-39.600000000000136
4530,1,821,41,-3665.9000000000015
3542,95,789,83,-22329.100000000006
1780,42,350,44,-5858.4000000000015
5723,66,226,45,-1229.5
1248,40,25,69,-19320.9
3456,74,368,61,-10262.900000000001
1738,57,477,78,-23627.600000000002
7071,22,245,46,-2285.4000000000015
8719,64,235,16,8488.6
172,97,389,74,-19482.4
8313,3,499,19,6601.1
4761,23,640,98,-40044.600000000006
8665,80,143,3,8860.9
5324,31,12,99,-39631.9
8726,84,851,12,9028.4
4330,15,543,70,-18630.0
680,90,796,66,-14724.400000000001
5244,63,865,65,-11363.5
4339,74,949,85,-24773.5
4143,54,443,91,-31519.9
5882,20,453,67,-14774.100000000002
2385,44,808,36,-2381.4000000000005
8753,72,625,42,3133.3999999999996
1761,15,293,76,-25401.4
9607,3,94,80,-21513.000000000004
8379,89,373,33,5979.9
5058,56,362,68,-13791.600000000002
9593,11,869,36,3638.5999999999995
1604,95,744,6,1997.6
3727,82,984,17,3704.8999999999996
7868,58,274,78,-17419.600000000002
1719,59,638,4,1876.6
3445,80,136,5,3722.5
7335,3,71,44,-2019.4000000000015
4058,8,601,95,-39404.5
228,47,685,85,-31179.5
6674,92,452,69,-10306.900000000001
5973,33,550,51,-5088.9000000000015
3734,90,110,86,-24766.4
1540,68,105,79,-23668.9
4478,18,523,51,-7348.9000000000015
931,46,214,19,36.09999999999991
1409,62,721,76,-22181.4
4787,68,497,62,-9832.600000000002
8363,4,820,82,-24256.600000000006
4455,72,873,71,-15133.900000000001
3755,28,595,5,3772.5
6138,79,709,62,-7799.600000000002
9286,16,857,21,7461.1
7691,46,895,28,5137.4
7687,13,791,41,-16.900000000001455
2033,67,844,67,-15474.100000000002
1542,15,175,42,-6471.6
6345,85,465,9,6713.1
1512,44,421,16,961.5999999999999
7128,65,674,71,-12957.900000000001
1522,7,191,30,-2678.0
3471,82,32,63,-10811.100000000002
7057,41,439,75,-17430.500000000004
9619,20,646,97,-34545.100000000006
272,19,983,99,-45871.9
5165,24,864,81,-25039.9
6097,57,107,78,-19268.600000000002
617,94,139,94,-33843.4
5898,26,684,82,-24917.600000000006
1930,17,666,22,-67.60000000000036
4582,28,994,62,-12517.600000000002
1634,32,586,19,473.0999999999999
1037,28,1,14,468.5999999999999
1355,16,611,30,-2575.0
6616,19,314,62,-11041.600000000002
2185,64,193,80,-24055.000000000004
1184,90,163,38,-2471.6000000000004
7916,13,33,11,7466.1
1361,28,481,61,-15163.900000000001
9753,1,942,39,2339.0999999999995
2851,95,281,31,1087.0999999999995
1740,60,138,78,-23391.600000000002
1320,29,910,51,-9945.900000000001
6489,18,304,23,4310.9
1328,2,60,95,-42704.5
9510,96,114,6,9909.6
2678,51,779,20,1737.9999999999998
7906,87,897,56,-2588.4000000000015
5780,28,585,12,5410.4
7444,31,661,5,7476.5
9824,36,377,79,-17912.9
2557,76,458,27,1036.8999999999996
2620,98,909,66,-12256.400000000001
672,58,806,56,-11446.400000000001
8249,46,216,84,-22461.4
6630,70,262,13,6711.9
2617,90,567,45,-3255.5
4930,53,597,6,5071.6
5037,58,24,67,-13073.100000000002
7342,48,311,77,-18014.100000000002
4237,8,292,38,-2534.6000000000004
4221,98,583,89,-25869.9
6189,83,792,85,-22158.5
671,30,885,61,-15731.900000000001
1284,2,520,87,-35630.100000000006
7342,55,896,25,5654.5
8941,91,925,92,-24160.600000000006
7373,54,31,76,-16825.4
2367,64,73,71,-17789.9
8438,66,678,73,-12856.100000000002
3674,67,191,82,-23779.600000000006
5609,47,480,53,-5664.1
8757,22,641,11,8406.1
5042,26,604,16,4203.6
9931,95,732,28,8749.4
5733,13,612,44,-3181.4000000000015
115,61,7,91,-34910.9
8608,1,347,95,-35519.5
3966,8,920,51,-8370.900000000001
2479,19,684,76,-24379.4
7647,35,786,73,-15910.100000000002
2495,43,205,64,-14823.400000000001
8422,44,911,39,2685.0999999999995
980,60,610,98,-40199.600000000006
9838,30,377,27,7075.9
3459,33,895,89,-32416.9
8911,54,987,9,9000.1
8816,56,649,14,8639.6
1304,73,536,25,66.5
9772,48,432,90,-25598.0
1036,73,30,46,-5974.4000000000015
6924,40,296,91,-30012.9
2014,85,550,58,-9539.600000000002
7392,25,290,14,6781.6
8931,60,509,27,6978.9
640,9,595,90,-38240.0
5278,8,739,43,-3438.1000000000004
9258,67,685,90,-24402.0
4535,84,151,18,4459.4
4216,62,93,36,97.59999999999945
8060,95,49,74,-11742.400000000001
9097,39,196,53,-2600.1000000000004
1148,50,18,83,-28458.100000000006
2350,11,438,63,-16405.100000000002
2958,51,268,94,-35544.4
8171,10,502,32,3473.3999999999996
3134,59,534,54,-7968.4000000000015
6403,72,73,68,-11358.600000000002
4476,19,666,19,3068.1
9711,46,849,43,2628.8999999999996
1390,46,96,27,-940.1000000000004
4717,73,148,40,-203.0000000000009
2414,37,121,37,-2925.1000000000004
6549,38,886,90,-29721.0
6793,22,783,29,3310.0999999999995
2253,1,845,10,1773.0
2507,96,157,47,-3805.1000000000004
5510,98,16,56,-4368.4000000000015
6815,14,853,68,-14890.600000000002
2872,57,748,48,-5681.6
5566,38,532,87,-28216.100000000006
9558,71,740,39,4874.099999999999
8657,82,550,96,-28629.4
780,93,49,76,-20454.4
9219,16,150,75,-17143.500000000004
1184,33,609,94,-39010.4
1687,48,230,70,-18963.0
1695,78,248,28,37.399999999999636
8533,56,768,22,7393.4
8116,89,58,74,-12130.400000000001
3803,90,903,36,692.5999999999995
847,66,965,31,-1815.9000000000005
867,88,494,63,-13037.100000000002
7689,65,921,40,2448.999999999999
4607,29,501,35,-380.5
580,80,693,14,739.5999999999999
865,38,917,36,-4117.400000000001
8424,85,952,76,-13418.400000000001
629,23,515,68,-20464.600000000002
4502,75,866,22,3780.3999999999996
7685,68,626,43,1548.8999999999996
5480,48,778,98,-36875.600000000006
9059,32,509,22,7391.4
6587,98,466,73,-12371.100000000002
4357,81,757,93,-30490.100000000006
978,1,159,32,-4007.6000000000004
327,10,464,98,-45752.600000000006
3382,9,718,16,2271.6
3613,70,195,47,-3921.1000000000004
3298,98,343,63,-9976.100000000002
5507,66,468,50,-3443.0
2104,58,198,66,-15412.400000000001
1044,67,401,24,-170.4000000000001
404,3,794,28,-3353.6000000000004
3492,86,211,68,-13317.600000000002
4778,56,819,64,-11708.400000000001
7341,87,559,72,-11796.600000000002
5265,52,82,92,-31424.600000000006
1116,73,440,57,-10643.1
1962,70,541,1,2027.1
6598,31,832,9,6480.1
8345,59,47,78,-16864.600000000002
4084,20,925,68,-17213.600000000002
8545,9,941,70,-14835.0
8922,37,359,12,8660.4
873,81,499,34,-2037.4000000000005
8686,72,254,27,7057.9
8237,60,493,51,-1447.9000000000015
6578,89,976,96,-30036.4
9937,5,726,63,-9196.100000000002
8529,77,75,96,-29237.4
7180,79,815,36,3673.5999999999995
1140,50,278,60,-13500.0
9531,83,741,66,-6335.4000000000015
8332,52,516,32,4978.4
1547,62,12,33,-1743.1000000000004
8726,84,581,36,5399.599999999999
1764,82,549,36,-1634.4000000000005
8174,91,298,92,-24927.600000000006
2409,13,243,47,-7804.1
9118,4,430,12,8460.4
7455,38,793,35,2782.5
459,29,182,19,-758.9000000000001
2850,83,916,88,-27791.600000000006
9046,33,617,94,-31148.4
2263,26,556,28,-850.6000000000004
2609,25,740,49,-7930.9000000000015
1148,77,791,56,-9906.400000000001
1843,72,947,15,1820.5
2082,72,574,28,256.39999999999964
4054,59,345,38,-779.6000000000004
2180,12,478,21,271.0999999999999
5291,2,387,44,-4107.4000000000015
7630,5,803,89,-30737.9
2717,73,687,29,713.0999999999995
2545,94,904,11,2986.1
795,11,693,1,801.1
1689,6,902,25,-1223.5
5114,86,993,13,5403.9
4328,48,100,56,-8350.400000000001
6713,59,10,89,-26848.9
8676,97,773,45,3118.5
5228,8,641,63,-13716.100000000002
5427,97,252,29,4119.099999999999
9018,73,700,48,1232.3999999999996
3052,59,463,75,-20085.500000000004
2091,96,948,61,-10285.900000000001
5845,54,978,6,5992.6
166,52,196,98,-41797.600000000006
2269,92,365,48,-4604.6
4626,58,81,86,-26626.4
5305,93,233,64,-8813.400000000001
4229,62,599,26,2528.6
8370,42,465,34,4133.599999999999
4574,26,711,9,4411.1
8494,89,896,87,-20851.100000000006
4455,84,106,64,-10239.400000000001
490,10,268,31,-3908.9000000000005
6116,42,662,76,-18994.4
9832,97,303,49,2820.0999999999985
180,92,156,27,-908.1000000000004
4053,77,69,99,-36348.9
3932,36,484,88,-30845.600000000006
9676,55,256,85,-21051.5
1741,31,565,39,-4502.900000000001
5274,48,568,16,4787.6
1017,55,250,9,1115.1
6635,46,370,82,-22540.600000000006
753,92,963,78,-21882.600000000002
9679,66,329,79,-15687.900000000001
5513,53,661,39,127.09999999999945
9475,43,808,67,-9640.100000000002
6513,8,387,2,6509.4
6734,75,216,35,3356.5
8869,57,261,21,7905.1
9568,51,68,14,9321.6
8363,26,349,80,-20917.000000000004
8234,66,865,24,6995.6
2552,47,722,39,-3067.9000000000005
8820,57,832,25,7182.5
2584,45,839,49,-6975.9000000000015
5254,1,152,18,3684.3999999999996
1229,98,616,7,1674.9
1778,2,572,32,-3175.6000000000004
5585,96,440,54,-3519.4000000000015
6799,46,774,10,6769.0
5835,82,865,2,5979.4
6581,20,111,49,-4203.9000000000015
4717,10,104,11,4234.1
8734,15,578,53,-4235.1
9905,48,695,97,-31543.100000000006
1760,6,448,20,-80.00000000000023
724,81,884,68,-16425.600000000002
2415,18,431,70,-20335.0
6102,90,465,8,6508.4
1482,59,317,20,701.9999999999998
777,71,17,18,467.39999999999986
2591,66,821,86,-27973.4
5548,79,588,18,5382.4
2903,11,938,24,344.5999999999999
4997,31,268,92,-33624.600000000006
7580,75,394,59,-5051.9000000000015
3112,71,607,52,-6445.6
5176,31,844,26,2669.6
4475,14,258,29,760.0999999999995
1723,98,529,18,1899.3999999999999
9966,81,540,23,9236.9
6261,11,678,87,-29870.100000000006
3010,19,57,30,-830.0
43,43,221,24,-1747.4
1762,93,343,57,-8857.1
9660,72,616,62,-4711.600000000002
2568,68,876,53,-7592.1
5942,13,781,82,-25939.600000000006
5637,72,854,82,-21406.600000000006
9762,80,891,80,-15198.000000000004
7103,3,286,74,-19507.4
2304,35,256,91,-35087.9
7453,65,478,64,-8457.400000000001
2420,12,164,57,-12816.1
4938,16,120,29,1281.0999999999995
1799,53,816,84,-28323.4
6538,91,319,77,-15507.100000000002
1777,11,551,55,-12440.500000000002
534,2,449,4,463.6
8225,39,264,38,2631.3999999999996
8535,55,242,67,-9776.100000000002
3064,19,527,30,-776.0
4713,45,721,11,4615.1
1290,56,277,17,825.8999999999999
3202,52,117,95,-36080.5
2601,98,361,74,-16979.4
7911,17,563,17,6783.9
979,36,560,42,-6152.6
284,28,997,27,-2532.1000000000004
2248,83,776,30,328.0
5987,22,787,24,3692.6
2355,21,700,69,-19524.9
6440,18,274,80,-23480.000000000004
9476,3,202,81,-22429.9
8250,96,789,24,7731.6
184,52,261,74,-22800.4
6602,17,9,16,5619.6
4742,6,287,84,-29328.4
6258,4,903,46,-3926.4000000000015
2534,7,996,2,2528.4
9245,13,952,66,-11241.400000000001
4671,11,112,93,-36686.100000000006
6332,35,261,34,1857.5999999999995
8176,18,884,95,-34336.5
1139,15,704,62,-16766.600000000002
6846,20,8,17,5769.9
3254,75,946,98,-36455.600000000006
9314,54,25,20,8434.0
4338,42,50,32,664.3999999999996
9254,20,544,40,2213.999999999999
7901,54,715,83,-21373.100000000006
5811,5,556,91,-34310.9
4923,49,984,41,-1304.9000000000015
4992,73,764,96,-33158.4
8680,89,660,68,-7925.600000000002
9449,24,120,22,7605.4
6635,12,305,22,4527.4
6523,80,297,3,6718.9
5095,80,927,61,-8257.900000000001
7133,53,112,27,4991.9
374,24,678,95,-41568.5
8259,2,739,49,-3407.9000000000015
5992,67,301,25,4604.5
9307,67,89,85,-20400.5
1298,8,755,39,-5842.900000000001
6748,96,148,77,-14912.100000000002
3550,91,908,52,-4967.6
4993,74,84,21,4386.1
5247,72,686,49,-2989.9000000000015
6073,46,640,47,-2589.1000000000004
1523,88,643,37,-1929.1000000000004
7530,96,554,18,7670.4
7731,93,969,28,6493.4
1868,99,41,26,1129.6
5731,19,340,17,4637.9
7845,76,308,45,1342.5
972,68,216,81,-25668.9
3305,16,84,39,-3523.9000000000005
4018,57,372,4,4167.6
973,82,998,9,1314.1
4763,83,590,80,-19957.000000000004
6843,70,310,46,-305.40000000000146
9627,43,967,71,-12020.900000000001
7935,79,499,37,4149.9
2546,27,403,98,-41867.600000000006
1682,5,662,43,-7163.1
3605,22,214,93,-36729.100000000006
642,52,201,60,-13878.0
6621,35,197,50,-3879.0
2432,59,627,75,-20705.500000000004
2630,91,901,25,1842.5
7118,45,218,29,4302.099999999999
8238,86,51,54,-1406.4000000000015
1224,33,213,44,-6810.4000000000015
5296,32,2,90,-31514.0
5721,62,382,41,26.099999999998545
9437,9,475,83,-23572.100000000006
7658,78,24,48,112.39999999999964
2609,91,619,33,275.89999999999964
831,79,76,53,-8746.1
405,70,933,75,-21907.500000000004
7247,83,381,68,-9766.600000000002
1891,17,999,88,-34558.600000000006
9182,89,380,25,8344.5
4875,1,215,86,-31279.4
4658,31,33,89,-31395.9
8486,23,209,20,6986.0
546,57,505,54,-10664.400000000001
462,78,117,15,529.5
5376,74,312,87,-25274.100000000006
6302,42,830,39,487.09999999999945
114,88,328,81,-24906.9
150,8,439,27,-3206.1000000000004
6390,94,547,29,4995.099999999999
5987,27,438,53,-6346.1
2267,58,789,50,-7083.0
1812,22,914,27,-1166.1000000000004
6325,18,813,66,-13831.400000000001
6515,66,113,87,-24831.100000000006
4777,2,492,64,-15165.400000000001
1170,39,148,26,-1128.4
6278,62,131,26,4577.6
5915,65,136,82,-21702.600000000006
7177,57,918,9,7293.1
8081,6,462,42,-310.60000000000036
4334,59,634,71,-16177.900000000001
1041,85,101,66,-14693.400000000001
8253,69,946,59,-4732.9000000000015
1212,69,95,43,-4881.1
1518,41,789,44,-6164.4000000000015
9845,73,447,45,3207.5
3762,11,309,76,-23704.4
9272,88,321,67,-6828.100000000002
3544,14,47,61,-13834.900000000001
6289,1,697,51,-6404.9000000000015
9508,78,924,68,-7845.600000000002
7548,30,323,40,907.9999999999991
1100,31,782,57,-13053.1
3800,44,637,22,2396.3999999999996
2634,81,649,81,-22953.9
5062,62,720,42,-977.6000000000004
4089,68,76,60,-9471.0
2481,58,40,81,-24969.9
8673,67,740,49,191.09999999999854
2412,68,574,60,-11148.0
5683,44,318,82,-23656.600000000006
1328,45,568,8,1374.4
5192,88,439,31,3211.0999999999995
4087,79,184,98,-35230.600000000006
8373,95,522,50,873.0
1096,64,978,48,-7121.6
7055,72,952,88,-24554.600000000006
7552,17,486,15,6704.5
2455,39,611,39,-3476.9000000000005
8809,11,623,25,6021.5
7376,84,780,40,2895.999999999999
4358,23,364,53,-8187.1
3610,35,858,42,-3563.6000000000004
8356,90,288,47,1761.8999999999996
2024,61,326,40,-3376.000000000001
8605,74,932,5,8852.5
9859,45,468,78,-16442.600000000002
1650,19,571,35,-3687.5
9037,1,621,64,-10969.400000000001
6053,35,956,5,6105.5
9556,52,480,47,1175.8999999999996
6603,94,131,2,6771.4
4718,74,756,89,-27508.9
1912,62,12,2,2016.4
7794,86,53,18,7754.4
5248,41,277,54,-6826.4000000000015
1742,89,168,22,1328.3999999999996
7109,87,694,76,-14581.400000000001
7650,2,846,49,-4016.9000000000015
5250,93,309,39,1424.0999999999995
157,81,774,55,-10210.500000000002
2714,95,66,34,279.59999999999945
5022,14,831,10,4672.0
29,75,218,74,-21253.4
6050,40,656,42,-913.6000000000004
9027,85,310,76,-12815.400000000001
5367,32,803,5,5404.5
299,70,939,78,-24052.600000000002
9783,20,544,95,-32539.5
318,8,359,92,-40419.600000000006
4204,6,926,51,-8234.900000000001
4886,37,123,10,4766.0
8201,89,428,34,5562.599999999999
4496,23,405,56,-9582.400000000001
652,42,599,32,-3021.6000000000004
9529,2,342,25,6516.5
1824,62,966,19,1233.1
8646,4,150,64,-11168.400000000001
6896,80,477,3,7091.9
6192,24,826,67,-14196.100000000002
4633,81,459,24,3754.6
8070,96,146,40,4069.999999999999
5674,43,818,11,5554.1
1371,47,330,27,-932.1000000000004
2632,80,186,46,-4056.4000000000015
7555,32,379,98,-36368.600000000006
3698,80,653,22,3086.3999999999996
6582,92,254,12,6980.4
6546,66,467,29,4339.099999999999
6687,30,419,16,5912.6
6144,99,485,61,-6049.9000000000015
8924,80,71,87,-21204.100000000006
5805,35,527,94,-34201.4
3592,22,354,12,3150.4
6222,32,222,36,1023.5999999999995
7517,92,147,82,-17886.600000000006
6317,84,251,86,-22699.4
8187,3,543,56,-7011.4000000000015
6361,66,551,82,-21174.600000000006
8378,60,150,65,-8424.5
9531,65,675,63,-5822.100000000002
1939,45,495,66,-16435.4
6835,51,358,93,-30802.100000000006
2164,11,423,30,-1916.0
6120,22,842,99,-39726.9
1447,81,63,57,-9856.1
8996,91,796,17,9126.9
7394,34,464,74,-16922.4
9435,16,76,36,3660.5999999999995
3653,55,947,68,-15264.600000000002
1162,51,553,23,-257.10000000000036
529,62,494,96,-38677.4
3055,84,561,61,-10053.900000000001
5075,48,226,5,5192.5
9814,36,42,93,-29218.100000000006
3506,18,261,1,3519.1
5972,28,656,94,-34692.4
7156,22,943,1,7173.1
9561,26,912,36,4146.599999999999
674,3,85,71,-23813.9
1336,59,56,27,-643.1000000000004
6637,91,273,50,-1063.0
7413,51,482,31,4285.099999999999
1481,48,172,63,-14943.100000000002
6890,73,654,23,5976.9
2147,29,114,1,2171.1
377,15,351,73,-24640.100000000002
7932,47,794,18,7190.4
2135,63,969,4,2308.6
8772,81,595,93,-26075.100000000006
6589,54,987,62,-8898.600000000002
1152,9,258,98,-45025.600000000006
6768,19,522,15,5950.5
3948,39,113,75,-20689.500000000004
1647,14,19,11,1208.1
3674,65,330,48,-4495.6
547,46,189,44,-6915.4000000000015
3580,29,733,4,3617.6
3710,14,760,74,-22086.4
5120,40,85,21,3799.1
1458,11,148,77,-26747.100000000002
3118,73,205,71,-16399.9
7495,8,302,4,7448.6
8649,52,847,52,-1896.6000000000004
7595,11,155,32,2929.3999999999996
4320,32,857,59,-10848.900000000001
5862,77,137,56,-5192.4000000000015
9032,21,547,49,-1703.9000000000015
1047,24,195,86,-33129.4
1185,61,788,20,444.9999999999998
2904,98,829,80,-20616.000000000004
1016,19,49,48,-9361.6
1893,14,196,74,-23903.4
3398,61,69,81,-23809.9
5059,96,147,58,-5856.600000000002
4557,11,24,7,4393.9
3500,20,830,5,3477.5
454,80,131,52,-8635.6
391,56,4,3,514.9
8063,98,67,36,5240.599999999999
9264,53,492,34,5401.599999999999
3552,55,940,23,2224.8999999999996
3718,10,813,52,-9011.6
4516,7,739,84,-29470.4
4182,16,94,38,-2285.6000000000004
5766,65,964,39,848.0999999999995
1321,49,609,73,-21214.100000000002
8646,67,254,3,8802.9
8007,76,747,25,6844.5
351,19,967,15,-466.5
830,1,471,48,-10411.6
9207,80,905,7,9526.9
8115,16,902,69,-14109.900000000001
5989,90,817,71,-12321.900000000001
3914,52,87,93,-33630.100000000006
1090,94,13,53,-7692.1
599,38,701,86,-32373.4
175,11,299,5,107.49999999999999
370,97,129,4,679.6
8817,44,897,57,-4595.1
1303,44,701,23,-277.10000000000036
8954,37,989,35,4246.5
1377,4,109,47,-9259.1
8726,30,744,81,-20992.9
8332,73,663,90,-24788.0
8624,29,208,58,-6177.600000000002
9542,6,620,61,-8324.900000000001
8298,10,456,6,8181.6
3630,86,72,62,-9873.600000000002
7780,11,233,32,3114.3999999999996
4591,99,84,94,-29399.4
4162,67,521,96,-34564.4
8040,93,224,54,-1226.4000000000015
3950,80,112,12,4204.4
2845,9,853,3,2827.9
7391,99,967,51,-304.90000000000146
4313,84,396,57,-6819.1
5289,68,266,81,-21351.9
2219,67,852,29,41.099999999999454
9100,38,279,6,9151.6
1748,59,665,37,-2777.1000000000004
2269,82,421,46,-4327.4000000000015
2613,64,396,62,-12254.600000000002
6679,79,385,56,-4263.4000000000015
8701,25,150,95,-33146.5
4060,92,684,96,-32266.4
8428,91,289,67,-7471.100000000002
280,30,167,64,-17870.4
1252,35,70,84,-30382.4
2629,86,791,20,2389.0
4667,77,392,33,1871.8999999999996
9156,56,162,36,4821.599999999999
5007,30,69,63,-12551.100000000002
9182,15,676,49,-1847.9000000000015
614,20,675,17,-462.10000000000014
4934,79,404,14,5079.6
6907,78,784,22,6251.4
9496,82,41,57,-1750.1000000000004
7601,95,678,88,-21984.600000000006
3793,13,423,78,-25004.600000000002
9858,97,694,72,-8559.600000000002
2872,36,35,79,-24864.9
